NUMBER,BILL_LINK,TITLE,FILED_BY,LAST_ACTION_AND_LOCATION
SB 1060,https://www.flsenate.gov/Session/Bill/2019/01060,Specialty License Plates/Palm Beach Zoo and Conservation Society,Powell,Last Action: 3/5/2019 S Introduced -SJ 113
SB 1062,https://www.flsenate.gov/Session/Bill/2019/01062,Fees/Palm Beach Zoo and Conservation Society License Plate,Powell,Last Action: 3/5/2019 S Introduced -SJ 113
SB 1064,https://www.flsenate.gov/Session/Bill/2019/01064,Student and Parent Rights,Pizzo,Last Action: 3/5/2019 S Introduced -SJ 113
SB 1066,https://www.flsenate.gov/Session/Bill/2019/01066,Sales Tax Absorption,Baxley,Last Action: 3/21/2019 S CS by Commerce and Tourism read 1st time -SJ 261
SB 1068,https://www.flsenate.gov/Session/Bill/2019/01068,Crime Victim Assistance,Bean,Last Action: 4/8/2019 S Now in Appropriations
SB 1070,https://www.flsenate.gov/Session/Bill/2019/01070,Continuing Care Contracts,Lee,Last Action: 3/26/2019 S Now in Appropriations
SB 1072,https://www.flsenate.gov/Session/Bill/2019/01072,Limited Waiver of Sovereign Immunity,Rader,Last Action: 3/5/2019 S Introduced -SJ 115
SB 1074,https://www.flsenate.gov/Session/Bill/2019/01074,Sentencing,Brandes,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Criminal and Civil Justice, 04/16/19, 9:00 am, 37 Senate Building"
SB 1076,https://www.flsenate.gov/Session/Bill/2019/01076,Clerks of the Circuit Court,Brandes,Last Action: 3/14/2019 S CS by Judiciary read 1st time -SJ 248
SB 1078,https://www.flsenate.gov/Session/Bill/2019/01078,Chiropractic Medicine,Brandes,Last Action: 3/5/2019 S Introduced -SJ 115
SB 1080,https://www.flsenate.gov/Session/Bill/2019/01080,Hazing,Book,Last Action: 4/11/2019 S CS/CS/CS by- Appropriations; YEAS 19 NAYS 0
SB 1082,https://www.flsenate.gov/Session/Bill/2019/01082,Baby-changing Tables,Book,Last Action: 3/5/2019 S Introduced -SJ 115
SB 1084,https://www.flsenate.gov/Session/Bill/2019/01084,Removal of a Student for an Involuntary Examination,Albritton,Last Action: 3/5/2019 S Introduced -SJ 115
SB 1086,https://www.flsenate.gov/Session/Bill/2019/01086,Residential Tenancies,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 116
SB 1088,https://www.flsenate.gov/Session/Bill/2019/01088,Nursing Home Facility Staffing,Albritton,Last Action: 3/27/2019 S Withdrawn from further consideration
SB 1090,https://www.flsenate.gov/Session/Bill/2019/01090,Keep Our Graduates Working Act,Gruters,Last Action: 3/5/2019 S Introduced -SJ 116
SB 1092,https://www.flsenate.gov/Session/Bill/2019/01092,Reduction of Construction Contracting Fraud,Albritton,Last Action: 3/5/2019 S Introduced -SJ 116
SB 1094,https://www.flsenate.gov/Session/Bill/2019/01094,State Emergency Communications and Warning System,Cruz,Last Action: 3/5/2019 S Introduced -SJ 116
SB 1096,https://www.flsenate.gov/Session/Bill/2019/01096,Reemployment After Retirement,Perry,Last Action: 3/5/2019 S Introduced -SJ 116
SB 1098,https://www.flsenate.gov/Session/Bill/2019/01098,Sales Tax Refund for Eligible Job Training Organizations,Lee,Last Action: 4/9/2019 S Now in Appropriations
SB 1100,https://www.flsenate.gov/Session/Bill/2019/01100,Water Testing for Pollution,Montford,Last Action: 3/21/2019 S Now in Appropriations Subcommittee on Health and Human Services
SB 1102,https://www.flsenate.gov/Session/Bill/2019/01102,Defendants With Mental Illness,Harrell,Last Action: 3/26/2019 S Now in Appropriations Subcommittee on Criminal and Civil Justice
SB 1104,https://www.flsenate.gov/Session/Bill/2019/01104,License Plates,Bean,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Transportation, Tourism, and Economic Development, 04/16/19, 1:00 pm, 110 Senate Building"
SB 1106,https://www.flsenate.gov/Session/Bill/2019/01106,Fees/Specialty License Plates Uniform Annual Use Fee,Bean,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Transportation, Tourism, and Economic Development, 04/16/19, 1:00 pm, 110 Senate Building"
SB 1108,https://www.flsenate.gov/Session/Bill/2019/01108,Instructional Personnel and School Administrator Salary Schedules,Berman,Last Action: 3/5/2019 S Introduced -SJ 117
SB 1110,https://www.flsenate.gov/Session/Bill/2019/01110,Purchase of Condominium Units,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 118
SB 1112,https://www.flsenate.gov/Session/Bill/2019/01112,Taxation,Gruters,"Last Action: 4/11/2019 S On Committee agenda-- Finance and Tax, 04/16/19, 1:00 pm, 401 Senate Building"
SB 1114,https://www.flsenate.gov/Session/Bill/2019/01114,Electronic Payment of Governmental Fees,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 118
SB 1116,https://www.flsenate.gov/Session/Bill/2019/01116,Banking Services for Medical Marijuana Treatment Centers,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 118
SB 1118,https://www.flsenate.gov/Session/Bill/2019/01118,Construction Industry Workforce,Hutson,"Last Action: 4/2/2019 S CS by Innovation, Industry, and Technology read 1st time -SJ 295"
SB 1120,https://www.flsenate.gov/Session/Bill/2019/01120,Corporal Punishment in Public Schools,Taddeo,Last Action: 3/26/2019 S Now in Judiciary
SB 1122,https://www.flsenate.gov/Session/Bill/2019/01122,Licenses to Carry Concealed Weapons or Firearms,Pizzo,Last Action: 3/21/2019 S Withdrawn from further consideration
SB 1124,https://www.flsenate.gov/Session/Bill/2019/01124,Dispensing Medicinal Drugs,Harrell,"Last Action: 3/26/2019 S CS by Innovation, Industry, and Technology read 1st time -SJ 269"
SB 1126,https://www.flsenate.gov/Session/Bill/2019/01126,Pediatric Cardiac Technical Advisory Panel,Harrell,Last Action: 3/11/2019 S Now in Appropriations Subcommittee on Health and Human Services
SB 1128,https://www.flsenate.gov/Session/Bill/2019/01128,Emotional Support Animals,Diaz,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 1130,https://www.flsenate.gov/Session/Bill/2019/01130,Public Records/Criminal Investigative Information,Bean,Last Action: 3/5/2019 S Introduced -SJ 119
SB 1132,https://www.flsenate.gov/Session/Bill/2019/01132,Funds for Operation of Schools,Simmons,Last Action: 4/9/2019 S Now in Appropriations
SB 1134,https://www.flsenate.gov/Session/Bill/2019/01134,Electronic Monitoring Devices,Simmons,Last Action: 3/26/2019 S Now in Rules
SB 1136,https://www.flsenate.gov/Session/Bill/2019/01136,Cyberharassment,Harrell,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 1138,https://www.flsenate.gov/Session/Bill/2019/01138,Voluntary Prekindergarten Education,Simmons,Last Action: 3/5/2019 S Introduced -SJ 119
SB 1140,https://www.flsenate.gov/Session/Bill/2019/01140,Attorney Fees and Costs,Hutson,Last Action: 4/3/2019 S CS/CS by Community Affairs read 1st time -SJ 316
SB 1142,https://www.flsenate.gov/Session/Bill/2019/01142,Housing Discrimination,Thurston,Last Action: 2/22/2019 S Withdrawn prior to introduction -SJ 120
SB 1144,https://www.flsenate.gov/Session/Bill/2019/01144,Child Care Subsidies for Foster Parents,Montford,Last Action: 3/26/2019 S Now in Appropriations Subcommittee on Health and Human Services
SB 1146,https://www.flsenate.gov/Session/Bill/2019/01146,"Public Records/Photograph, Video, or Audio Recording that Depicts or Records the Killing of a Person",Bean,Last Action: 3/5/2019 S Introduced -SJ 120
SB 1148,https://www.flsenate.gov/Session/Bill/2019/01148,Vehicles for Rent or Lease,Perry,Last Action: 3/26/2019 S CS by Infrastructure and Security read 1st time -SJ 269
SB 1150,https://www.flsenate.gov/Session/Bill/2019/01150,Wildlife Protection,Pizzo,Last Action: 4/3/2019 S Withdrawn from further consideration -SJ 311
SB 1152,https://www.flsenate.gov/Session/Bill/2019/01152,Community Association Safety Systems,Pizzo,Last Action: 3/20/2019 S Now in Community Affairs
SB 1154,https://www.flsenate.gov/Session/Bill/2019/01154,Decedents’ Property,Berman,"Last Action: 4/3/2019 S CS by Children, Families, and Elder Affairs read 1st time -SJ 316"
SB 1156,https://www.flsenate.gov/Session/Bill/2019/01156,Community Solar Program,Berman,Last Action: 3/5/2019 S Introduced -SJ 121
SB 1158,https://www.flsenate.gov/Session/Bill/2019/01158,Motor Vehicle Lights and Signals,Gainer,Last Action: 3/5/2019 S Introduced -SJ 121
SB 1160,https://www.flsenate.gov/Session/Bill/2019/01160,School Health Services,Gainer,Last Action: 3/5/2019 S Introduced -SJ 121
SB 1162,https://www.flsenate.gov/Session/Bill/2019/01162,Northwest Florida Rural Inland Affected Counties Recovery Fund,Gainer,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Transportation, Tourism, and Economic Development, 04/16/19, 1:00 pm, 110 Senate Building"
SB 1164,https://www.flsenate.gov/Session/Bill/2019/01164,Postsecondary Fee Waivers,Gainer,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Education, 04/16/19, 9:00 am, 412 Knott Building"
SB 1166,https://www.flsenate.gov/Session/Bill/2019/01166,Missing Persons,Torres,Last Action: 3/5/2019 S Introduced -SJ 121
SB 1168,https://www.flsenate.gov/Session/Bill/2019/01168,Guardianships and Protective Proceedings,Gruters,Last Action: 3/5/2019 S Introduced -SJ 121
SB 1170,https://www.flsenate.gov/Session/Bill/2019/01170,Automated Pharmacy Systems,Brandes,"Last Action: 3/25/2019 S On Committee agenda-- Health Policy, 03/25/19, 1:30 pm, 412 Knott Building --Not Considered"
SB 1172,https://www.flsenate.gov/Session/Bill/2019/01172,Sanitary Sewer Laterals,Brandes,Last Action: 3/27/2019 S Now in Judiciary
SB 1174,https://www.flsenate.gov/Session/Bill/2019/01174,Custody of Minor Children by Extended Family,Bean,Last Action: 4/2/2019 S Now in Rules
SB 1176,https://www.flsenate.gov/Session/Bill/2019/01176,Public Records/Exemption Claim Investigation by a Property Appraiser's Office,Baxley,Last Action: 3/5/2019 S Introduced -SJ 122
SB 1178,https://www.flsenate.gov/Session/Bill/2019/01178,Franchised Motor Vehicle Dealers,Gruters,"Last Action: 3/12/2019 S On Committee agenda-- Infrastructure and Security, 03/12/19, 4:00 pm, 110 Senate Building --Temporarily Postponed"
SB 1180,https://www.flsenate.gov/Session/Bill/2019/01180,Prescription Drug Formulary Consumer Protection,Mayfield,Last Action: 4/10/2019 S CS/CS by Health Policy read 1st time -SJ 344
SB 1182,https://www.flsenate.gov/Session/Bill/2019/01182,Emergency Medical Services,Rouson,Last Action: 3/5/2019 S Introduced -SJ 122
SB 1184,https://www.flsenate.gov/Session/Bill/2019/01184,Bank Property of Deceased Accountholders,Baxley,Last Action: 3/14/2019 S CS by Banking and Insurance read 1st time -SJ 248
SB 1186,https://www.flsenate.gov/Session/Bill/2019/01186,Criminal Judgments,Baxley,"Last Action: 4/8/2019 S On Committee agenda-- Judiciary, 04/08/19, 4:00 pm, 110 Senate Building --Not Considered"
SB 1188,https://www.flsenate.gov/Session/Bill/2019/01188,Courts,Gruters,Last Action: 4/8/2019 S Now in Rules
SB 1190,https://www.flsenate.gov/Session/Bill/2019/01190,Special Risk Class,Montford,Last Action: 3/5/2019 S Introduced -SJ 123
SB 1192,https://www.flsenate.gov/Session/Bill/2019/01192,Electronic Prescribing,Bean,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/16/19, 1:00 pm, 412 Knott Building"
SB 1194,https://www.flsenate.gov/Session/Bill/2019/01194,Patient Safety Culture Surveys,Broxson,Last Action: 3/5/2019 S Introduced -SJ 123
SB 1196,https://www.flsenate.gov/Session/Bill/2019/01196,Vacation Rentals,Mayfield,Last Action: 3/5/2019 S Introduced -SJ 123
SB 1198,https://www.flsenate.gov/Session/Bill/2019/01198,School Board Fiscal Transparency,Stargel,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Education, 04/16/19, 9:00 am, 412 Knott Building"
SB 1200,https://www.flsenate.gov/Session/Bill/2019/01200,Construction Bonds,Stargel,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 1202,https://www.flsenate.gov/Session/Bill/2019/01202,Companion Animal Public-Private Partnership Act,Rader,Last Action: 3/5/2019 S Introduced -SJ 124
SB 1204,https://www.flsenate.gov/Session/Bill/2019/01204,Transportation Network Companies,Hutson,Last Action: 3/5/2019 S Introduced -SJ 124
SB 1206,https://www.flsenate.gov/Session/Bill/2019/01206,Domestic Violence,Berman,Last Action: 3/5/2019 S Introduced -SJ 124
SB 1208,https://www.flsenate.gov/Session/Bill/2019/01208,Aircraft Liens,Baxley,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 1210,https://www.flsenate.gov/Session/Bill/2019/01210,Ratification of Rules of the Department of Financial Services,Book,Last Action: 3/25/2019 S Now in Rules
SB 1212,https://www.flsenate.gov/Session/Bill/2019/01212,Gain-time,Bracy,Last Action: 3/5/2019 S Introduced -SJ 124
SB 1214,https://www.flsenate.gov/Session/Bill/2019/01214,"Child Abuse, Abandonment, and Neglect",Book,"Last Action: 4/2/2019 S CS by Children, Families, and Elder Affairs read 1st time -SJ 296"
SB 1216,https://www.flsenate.gov/Session/Bill/2019/01216,Health Providers,Bracy,Last Action: 3/5/2019 S Introduced -SJ 125
SB 1218,https://www.flsenate.gov/Session/Bill/2019/01218,Homelessness,Book,Last Action: 4/11/2019 S Now in Appropriations
SCR 1220,https://www.flsenate.gov/Session/Bill/2019/01220,Florida Legislative Investigation Committee,Book,Last Action: 3/5/2019 S Introduced -SJ 125
SB 1222,https://www.flsenate.gov/Session/Bill/2019/01222,Services for Veterans and Their Families,Harrell,Last Action: 4/8/2019 S Now in Appropriations
SB 1224,https://www.flsenate.gov/Session/Bill/2019/01224,Charter Schools,Farmer,Last Action: 4/12/2019 S Now in Rules
SB 1226,https://www.flsenate.gov/Session/Bill/2019/01226,Military Veterans and Servicemembers Court Programs,Taddeo,Last Action: 4/4/2019 S Now in Judiciary
SR 1228,https://www.flsenate.gov/Session/Bill/2019/01228,FAMU Day,Powell,Last Action: 2/19/2019 S Filed
SM 1230,https://www.flsenate.gov/Session/Bill/2019/01230,Permanently Restore Free and Fair Elections,Powell,Last Action: 3/5/2019 S Introduced -SJ 126
SB 1232,https://www.flsenate.gov/Session/Bill/2019/01232,Motor Vehicles,Rader,Last Action: 3/5/2019 S Introduced -SJ 126
SB 1234,https://www.flsenate.gov/Session/Bill/2019/01234,Student Eligibility Requirements for State Financial Aid Awards and Tuition Assistance Grants,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 126
SB 1236,https://www.flsenate.gov/Session/Bill/2019/01236,Transactions for the Possession of Animals,Farmer,Last Action: 3/5/2019 S Introduced -SJ 126
SB 1238,https://www.flsenate.gov/Session/Bill/2019/01238,Safety of Religious Institutions,Mayfield,"Last Action: 4/8/2019 S On Committee agenda-- Criminal Justice, 04/08/19, 1:30 pm, 37 Senate Building --Temporarily Postponed"
SB 1240,https://www.flsenate.gov/Session/Bill/2019/01240,Workers’ Compensation Benefits for Correctional Officers,Torres,Last Action: 3/5/2019 S Introduced -SJ 126
SB 1242,https://www.flsenate.gov/Session/Bill/2019/01242,Chiropractors,Rouson,"Last Action: 4/1/2019 S On Committee agenda-- Health Policy, 04/01/19, 1:30 pm, 412 Knott Building --Temporarily Postponed"
SB 1244,https://www.flsenate.gov/Session/Bill/2019/01244,Community Development District Bond Financing,Wright,Last Action: 3/20/2019 S Now in Finance and Tax
SB 1246,https://www.flsenate.gov/Session/Bill/2019/01246,Construction Defects,Wright,"Last Action: 3/25/2019 S On Committee agenda-- Judiciary, 03/25/19, 4:00 pm, 110 Senate Building --Temporarily Postponed"
SB 1248,https://www.flsenate.gov/Session/Bill/2019/01248,Landlords and Tenants,Torres,Last Action: 3/5/2019 S Introduced -SJ 127
SB 1250,https://www.flsenate.gov/Session/Bill/2019/01250,Community Development Districts,Torres,Last Action: 3/5/2019 S Introduced -SJ 127
SB 1252,https://www.flsenate.gov/Session/Bill/2019/01252,Public Accountancy,Gruters,Last Action: 4/3/2019 S CS by Banking and Insurance read 1st time -SJ 316
SB 1254,https://www.flsenate.gov/Session/Bill/2019/01254,Dependent Special Districts,Torres,Last Action: 3/5/2019 S Introduced -SJ 127
SB 1256,https://www.flsenate.gov/Session/Bill/2019/01256,Apalachicola Bay Area of Critical State Concern,Montford,Last Action: 3/14/2019 S CS by Environment and Natural Resources read 1st time -SJ 249
SB 1258,https://www.flsenate.gov/Session/Bill/2019/01258,Notice of Termination,Hooper,Last Action: 3/5/2019 S Introduced -SJ 127
SB 1260,https://www.flsenate.gov/Session/Bill/2019/01260,Mandatory Direct File,Wright,Last Action: 4/8/2019 S Now in Judiciary
SB 1262,https://www.flsenate.gov/Session/Bill/2019/01262,Mobile Home Park Lot Tenancies,Hooper,Last Action: 3/5/2019 S Introduced -SJ 127
SB 1264,https://www.flsenate.gov/Session/Bill/2019/01264,Lottery Games,Perry,Last Action: 3/5/2019 S Introduced -SJ 128
SB 1266,https://www.flsenate.gov/Session/Bill/2019/01266,Mental Health Care for Railroad Employees After a Critical Incident,Gibson,Last Action: 3/5/2019 S Introduced -SJ 128
SB 1268,https://www.flsenate.gov/Session/Bill/2019/01268,Tiny Homes,Book,Last Action: 3/5/2019 S Introduced -SJ 128
SB 1270,https://www.flsenate.gov/Session/Bill/2019/01270,Biometric Information Privacy,Farmer,Last Action: 3/5/2019 S Introduced -SJ 128
SB 1272,https://www.flsenate.gov/Session/Bill/2019/01272,Anti-Semitism,Gruters,Last Action: 4/10/2019 S CS by Judiciary read 1st time -SJ 345
SB 1274,https://www.flsenate.gov/Session/Bill/2019/01274,"Transportation Facility Designations/Martin Luther King, Jr., Boulevard",Wright,Last Action: 3/5/2019 S Introduced -SJ 128
SB 1276,https://www.flsenate.gov/Session/Bill/2019/01276,Attorney Compensation,Bean,Last Action: 3/5/2019 S Introduced -SJ 128
SB 1278,https://www.flsenate.gov/Session/Bill/2019/01278,Biosolids Management,Mayfield,Last Action: 4/11/2019 S Now in Appropriations
SB 1280,https://www.flsenate.gov/Session/Bill/2019/01280,Controlled Substance Prescribing,Rouson,Last Action: 4/8/2019 S Now in Rules
SB 1282,https://www.flsenate.gov/Session/Bill/2019/01282,Wellness Examinations,Thurston,Last Action: 3/5/2019 S Introduced -SJ 129
SB 1284,https://www.flsenate.gov/Session/Bill/2019/01284,District Cost Differential,Diaz,Last Action: 4/2/2019 S CS by Education read 1st time -SJ 297
SB 1286,https://www.flsenate.gov/Session/Bill/2019/01286,Treatment of Sexual Assault Victims,Book,Last Action: 3/5/2019 S Introduced -SJ 129
SB 1288,https://www.flsenate.gov/Session/Bill/2019/01288,Property Insurance Coverage for Explosions,Braynon,Last Action: 3/5/2019 S Introduced -SJ 129
SB 1290,https://www.flsenate.gov/Session/Bill/2019/01290,Clinics that Perform Abortions,Book,Last Action: 3/5/2019 S Introduced -SJ 129
SB 1292,https://www.flsenate.gov/Session/Bill/2019/01292,Timely Administration of Justice,Stargel,Last Action: 3/5/2019 S Introduced -SJ 129
SB 1294,https://www.flsenate.gov/Session/Bill/2019/01294,Peer Support for First Responders,Perry,Last Action: 3/5/2019 S Introduced -SJ 129
SB 1296,https://www.flsenate.gov/Session/Bill/2019/01296,Organization and Operation of State Universities,Diaz,Last Action: 4/3/2019 S CS by Education read 1st time -SJ 316
SJR 1298,https://www.flsenate.gov/Session/Bill/2019/01298,Adult Right to Cannabis,Bracy,Last Action: 3/5/2019 S Introduced -SJ 130
SB 1300,https://www.flsenate.gov/Session/Bill/2019/01300,Florida ABLE Program,Benacquisto,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 1302,https://www.flsenate.gov/Session/Bill/2019/01302,Mandatory Minimum Sentences,Bracy,Last Action: 3/5/2019 S Introduced -SJ 130
SB 1304,https://www.flsenate.gov/Session/Bill/2019/01304,Manufacturers of Malt Beverages,Mayfield,Last Action: 3/5/2019 S Introduced -SJ 130
SB 1306,https://www.flsenate.gov/Session/Bill/2019/01306,Women’s Suffrage Centennial Commemoration Committee,Book,Last Action: 4/11/2019 S Now in Appropriations
SB 1308,https://www.flsenate.gov/Session/Bill/2019/01308,Pathways to College and Career Success,Perry,Last Action: 4/11/2019 S Now in Appropriations
SB 1310,https://www.flsenate.gov/Session/Bill/2019/01310,Minors Posting Firearms on Social Media,Pizzo,Last Action: 4/10/2019 S Withdrawn from further consideration
SB 1312,https://www.flsenate.gov/Session/Bill/2019/01312,Cannabis,Pizzo,Last Action: 4/3/2019 S Withdrawn from further consideration -SJ 311
SB 1314,https://www.flsenate.gov/Session/Bill/2019/01314,Affordable Housing Tax Reductions,Pizzo,Last Action: 4/3/2019 S Withdrawn from further consideration -SJ 311
SB 1316,https://www.flsenate.gov/Session/Bill/2019/01316,Civic Education,Brandes,Last Action: 3/26/2019 S CS by Education read 1st time -SJ 269
SB 1318,https://www.flsenate.gov/Session/Bill/2019/01318,Ad Valorem Taxation,Albritton,Last Action: 3/5/2019 S Introduced -SJ 131
SB 1320,https://www.flsenate.gov/Session/Bill/2019/01320,Damages Recoverable for Health Care Costs,Stargel,Last Action: 3/5/2019 S Introduced -SJ 131
SB 1322,https://www.flsenate.gov/Session/Bill/2019/01322,Availability of Marijuana for Medical Use,Brandes,Last Action: 3/5/2019 S Introduced -SJ 131
SB 1324,https://www.flsenate.gov/Session/Bill/2019/01324,Fees/Medical Marijuana Treatment Centers/Department of Health,Brandes,Last Action: 3/5/2019 S Introduced -SJ 132
SB 1326,https://www.flsenate.gov/Session/Bill/2019/01326,Incarcerated Women with Newborn Children,Powell,Last Action: 3/5/2019 S Introduced -SJ 132
SB 1328,https://www.flsenate.gov/Session/Bill/2019/01328,Reciprocity for the Medical Use of Marijuana,Albritton,Last Action: 3/5/2019 S Introduced -SJ 132
SB 1330,https://www.flsenate.gov/Session/Bill/2019/01330,Public Notification of Pollution,Cruz,Last Action: 3/5/2019 S Introduced -SJ 132
SB 1332,https://www.flsenate.gov/Session/Bill/2019/01332,Notice of Tobacco Smoking Policy on Rental Premises,Cruz,Last Action: 3/5/2019 S Introduced -SJ 132
SB 1334,https://www.flsenate.gov/Session/Bill/2019/01334,Criminal Justice,Brandes,Last Action: 3/21/2019 S CS by Criminal Justice read 1st time -SJ 261
SR 1336,https://www.flsenate.gov/Session/Bill/2019/01336,Nicholas J. “Nick” Bollettieri,Benacquisto,Last Action: 3/27/2019 S Adopted -SJ 275
SB 1338,https://www.flsenate.gov/Session/Bill/2019/01338,Guardianship,Rodriguez,Last Action: 4/2/2019 S Now in Rules
SB 1340,https://www.flsenate.gov/Session/Bill/2019/01340,Water Pollution Operation Permits,Cruz,Last Action: 3/5/2019 S Introduced -SJ 134
SB 1342,https://www.flsenate.gov/Session/Bill/2019/01342,Postsecondary Education for Secondary Students,Stargel,Last Action: 4/9/2019 S Now in Appropriations
SB 1344,https://www.flsenate.gov/Session/Bill/2019/01344,Statewide Environmental Resource Permitting Rules,Cruz,"Last Action: 4/2/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and General Government"
SB 1346,https://www.flsenate.gov/Session/Bill/2019/01346,Public Records/Homelessness Counts and Databases,Gruters,Last Action: 3/19/2019 S Now in Governmental Oversight and Accountability
SB 1348,https://www.flsenate.gov/Session/Bill/2019/01348,Health Innovation Commission,Gruters,Last Action: 3/5/2019 S Introduced -SJ 134
SB 1350,https://www.flsenate.gov/Session/Bill/2019/01350,Local Government Fiscal Transparency,Hutson,Last Action: 3/5/2019 S Introduced -SJ 135
SB 1352,https://www.flsenate.gov/Session/Bill/2019/01352,Minimum Wage,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 135
SB 1354,https://www.flsenate.gov/Session/Bill/2019/01354,Sunshine Scholarship Program,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 135
SB 1356,https://www.flsenate.gov/Session/Bill/2019/01356,Construction Materials Mining Activities,Diaz,Last Action: 3/5/2019 S Introduced -SJ 135
SB 1358,https://www.flsenate.gov/Session/Bill/2019/01358,Driver Licenses and Identification Cards,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 135
SB 1360,https://www.flsenate.gov/Session/Bill/2019/01360,Alternative Treatments to Controlled Substances,Gruters,Last Action: 3/5/2019 S Introduced -SJ 135
SB 1362,https://www.flsenate.gov/Session/Bill/2019/01362,Community Associations,Gruters,Last Action: 4/12/2019 S Now in Community Affairs
SB 1364,https://www.flsenate.gov/Session/Bill/2019/01364,Comprehensive Emergency Management Planning for Assisted Living Facilities,Gruters,Last Action: 3/5/2019 S Introduced -SJ 136
SB 1366,https://www.flsenate.gov/Session/Bill/2019/01366,Education,Baxley,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Education, 04/16/19, 9:00 am, 412 Knott Building"
SB 1368,https://www.flsenate.gov/Session/Bill/2019/01368,Fleet Vehicle Rebate Programs,Simpson,Last Action: 3/19/2019 S Now in Infrastructure and Security
SB 1370,https://www.flsenate.gov/Session/Bill/2019/01370,Medically Essential Electric Utility Service,Farmer,Last Action: 3/5/2019 S Introduced -SJ 136
SB 1372,https://www.flsenate.gov/Session/Bill/2019/01372,Renewable Energy Standards,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 137
SB 1374,https://www.flsenate.gov/Session/Bill/2019/01374,Victims of Reform School Abuse,Rouson,Last Action: 3/5/2019 S Introduced -SJ 137
SB 1376,https://www.flsenate.gov/Session/Bill/2019/01376,Specialty License Plates/Knights of Columbus,Gruters,Last Action: 3/5/2019 S Introduced -SJ 137
SB 1378,https://www.flsenate.gov/Session/Bill/2019/01378,Fees/Knights of Columbus License Plate,Gruters,Last Action: 3/5/2019 S Introduced -SJ 137
SB 1380,https://www.flsenate.gov/Session/Bill/2019/01380,Gardiner Scholarship,Perry,"Last Action: 4/10/2019 S On Committee agenda-- Education, 04/10/19, 1:30 pm, 412 Knott Building --Temporarily Postponed"
SB 1382,https://www.flsenate.gov/Session/Bill/2019/01382,Quorum Requirements for Homeowners’ Associations,Gibson,Last Action: 3/5/2019 S Introduced -SJ 137
SB 1384,https://www.flsenate.gov/Session/Bill/2019/01384,Urban and Inner-City Crime and Gun Violence Prevention Commission,Gibson,Last Action: 3/5/2019 S Introduced -SJ 137
SB 1386,https://www.flsenate.gov/Session/Bill/2019/01386,Elections,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 137
SB 1388,https://www.flsenate.gov/Session/Bill/2019/01388,College and Career Educational Pathways,Cruz,Last Action: 3/5/2019 S Introduced -SJ 138
SB 1390,https://www.flsenate.gov/Session/Bill/2019/01390,Rent Control Measures,Torres,Last Action: 3/5/2019 S Introduced -SJ 138
SB 1392,https://www.flsenate.gov/Session/Bill/2019/01392,Insurance Proceeds Held by Mortgagees or Assignees,Gainer,Last Action: 3/5/2019 S Introduced -SJ 138
SB 1394,https://www.flsenate.gov/Session/Bill/2019/01394,Entertainment Industry Financial Incentive Program,Torres,Last Action: 3/5/2019 S Introduced -SJ 138
SB 1396,https://www.flsenate.gov/Session/Bill/2019/01396,Child Welfare,Albritton,Last Action: 3/5/2019 S Introduced -SJ 138
SJR 1398,https://www.flsenate.gov/Session/Bill/2019/01398,Legislation by Initiative,Torres,Last Action: 3/5/2019 S Introduced -SJ 138
SB 1400,https://www.flsenate.gov/Session/Bill/2019/01400,Private Property Rights,Albritton,Last Action: 4/10/2019 S CS/CS by Judiciary read 1st time -SJ 345
SB 1402,https://www.flsenate.gov/Session/Bill/2019/01402,Inmate Confinement,Farmer,Last Action: 3/5/2019 S Introduced -SJ 139
SB 1404,https://www.flsenate.gov/Session/Bill/2019/01404,Fuel Taxes,Mayfield,Last Action: 2/26/2019 S Withdrawn prior to introduction -SJ 139
